anime_id,signal_type,strength
1,popularity,0.023255813953488372
1,favorites,88223.0
1,score,8.75
5,popularity,0.0015360983102918587
5,favorites,1754.0
5,score,8.38
6,popularity,0.0037593984962406013
6,favorites,17265.0
6,score,8.22
7,popularity,0.0005042864346949068
7,favorites,690.0
7,score,7.23
8,popularity,0.00017307026652821047
8,favorites,18.0
8,score,6.92
15,popularity,0.0007158196134574087
15,favorites,2107.0
15,score,7.91
16,popularity,0.0010384215991692627
16,favorites,4194.0
16,score,7.98
17,popularity,0.00020903010033444816
17,favorites,245.0
17,score,7.54
18,popularity,0.0007710100231303007
18,favorites,1406.0
18,score,8.17
19,popularity,0.008333333333333333
19,favorites,60093.0
19,score,8.89
20,popularity,0.1
20,favorites,84965.0
20,score,8.02
21,popularity,0.05555555555555555
21,favorites,245937.0
21,score,8.73
22,popularity,0.0007220216606498195
22,favorites,3062.0
22,score,7.84
23,popularity,0.00011147029316687103
23,favorites,3.0
23,score,6.35
24,popularity,0.0012674271229404308
24,favorites,5367.0
24,score,7.88
25,popularity,0.0005773672055427252
25,favorites,871.0
25,score,7.36
26,popularity,0.001034126163391934
26,favorites,5569.0
26,score,7.75
27,popularity,0.0007251631617113851
27,favorites,1398.0
27,score,7.28
28,popularity,0.0004405286343612335
28,favorites,943.0
28,score,7.91
29,popularity,0.00020362451639177357
29,favorites,203.0
29,score,7.49
30,popularity,0.021739130434782608
30,favorites,115099.0
30,score,8.36
31,popularity,0.0010121457489878543
31,favorites,794.0
31,score,7.49
32,popularity,0.00558659217877095
32,favorites,31607.0
32,score,8.56
33,popularity,0.0033112582781456954
33,favorites,30944.0
33,score,8.61
43,popularity,0.002932551319648094
43,favorites,14050.0
43,score,8.27
44,popularity,0.0010695187165775401
44,favorites,6428.0
44,score,8.69
45,popularity,0.0020920502092050207
45,favorites,10324.0
45,score,8.28
46,popularity,0.0003020235578375113
46,favorites,97.0
46,score,7.55
47,popularity,0.004784688995215311
47,favorites,14754.0
47,score,8.16
48,popularity,0.0007097232079489
48,favorites,1470.0
48,score,6.94
49,popularity,0.00031026993484331366
49,favorites,265.0
49,score,7.27
50,popularity,0.0006261740763932373
50,favorites,1160.0
50,score,7.31
51,popularity,0.00029171528588098014
51,favorites,187.0
51,score,6.23
52,popularity,0.00032216494845360824
52,favorites,329.0
52,score,7.26
53,popularity,0.000471253534401508
53,favorites,474.0
53,score,7.1
54,popularity,0.00036589828027808267
54,favorites,189.0
54,score,7.05
55,popularity,0.00017812611328820805
55,favorites,15.0
55,score,6.48
56,popularity,0.0001824817518248175
56,favorites,21.0
56,score,5.85
57,popularity,0.001379310344827586
57,favorites,9070.0
57,score,8.29
58,popularity,0.0003957261574990107
58,favorites,454.0
58,score,7.01
59,popularity,0.002036659877800407
59,favorites,4289.0
59,score,7.39
60,popularity,0.0008583690987124463
60,favorites,1961.0
60,score,7.59
61,popularity,0.0007047216349541931
61,favorites,1298.0
61,score,7.15
62,popularity,0.0003699593044765076
62,favorites,198.0
62,score,6.7
63,popularity,0.000594883997620464
63,favorites,363.0
63,score,6.54
64,popularity,0.000794912559618442
64,favorites,2103.0
64,score,7.4
